distribution_id,distribution_type,mu,sigma,kl_divergence,sample_size,f_value
61,gaussian,-0.290331512497598,1.6991003004227174,0.45551823310044315,1000,-0.5143131532206109
62,gaussian,-0.26399689289852774,0.5558523886957557,0.27658562667642217,100,-0.20740773597531686
62,gaussian,-0.26399689289852774,0.5558523886957557,0.27658562667642217,1000,-0.21487934838616363
63,gaussian,-0.38713347492293826,0.7190910562852144,0.16324942364148787,100,-0.2530846129623447
63,gaussian,-0.38713347492293826,0.7190910562852144,0.16324942364148787,1000,-0.2814144330574364
64,gaussian,-0.22614598992059964,1.8415384765893446,0.6106016339168014,100,-0.5183905908064455
64,gaussian,-0.22614598992059964,1.8415384765893446,0.6106016339168014,1000,-0.526645092301649
65,gaussian,-0.07321226445952238,1.3988720730114714,0.14543530639296076,100,-0.44400519610372163
65,gaussian,-0.07321226445952238,1.3988720730114714,0.14543530639296076,1000,-0.4382026908562585
66,gaussian,-0.14084911622784932,0.9786650405448538,0.010377707049244123,100,-0.37040420494197157
66,gaussian,-0.14084911622784932,0.9786650405448538,0.010377707049244123,1000,-0.34313918135237276
67,gaussian,-0.13129348954757045,1.125643328389643,0.02380072190145277,100,-0.39183334230196587
67,gaussian,-0.13129348954757045,1.125643328389643,0.02380072190145277,1000,-0.3795143114571297
68,gaussian,0.09603487101526623,1.9574835039396934,0.7488224605823155,100,-0.543323960624842
68,gaussian,0.09603487101526623,1.9574835039396934,0.7488224605823155,1000,-0.5583670522632169
69,gaussian,-0.4322355204630608,1.2172825406570467,0.13768121581750858,100,-0.42565640959877743
69,gaussian,-0.4322355204630608,1.2172825406570467,0.13768121581750858,1000,-0.3937277042365311
70,gaussian,-0.10469550024461945,0.6695467500203126,0.13078128714554393,100,-0.2598769121835684
70,gaussian,-0.10469550024461945,0.6695467500203126,0.13078128714554393,1000,-0.2552403316251401
71,gaussian,-0.054750669539812113,0.731762372781307,0.08153634808842347,100,-0.2650638671208906
71,gaussian,-0.054750669539812113,0.731762372781307,0.08153634808842347,1000,-0.27159162838697976
72,gaussian,-0.14810929694875205,0.9383748044506328,0.014847650215693786,100,-0.3458463990795201
72,gaussian,-0.14810929694875205,0.9383748044506328,0.014847650215693786,1000,-0.34105815297687764
73,gaussian,0.06171798689693671,1.35571248316355,0.1165555894852579,100,-0.4648296009974198
73,gaussian,0.06171798689693671,1.35571248316355,0.1165555894852579,1000,-0.42851618198288544
74,gaussian,-0.27446052055499176,1.9045324809029327,0.7070497124686312,100,-0.6167266790814997
74,gaussian,-0.27446052055499176,1.9045324809029327,0.7070497124686312,1000,-0.5237423936241934
75,gaussian,-0.08285741182323295,0.7342583489813237,0.08189467507838533,100,-0.27944097567063275
75,gaussian,-0.08285741182323295,0.7342583489813237,0.08189467507838533,1000,-0.27499063176495964
76,gaussian,-0.19216821681019047,1.0963927840268388,0.027477376299335,100,-0.34156232602534337
76,gaussian,-0.19216821681019047,1.0963927840268388,0.027477376299335,1000,-0.38617344966710676
77,gaussian,0.18666743960724552,1.3352165015454345,0.1197304673585824,100,-0.4500051811626884
77,gaussian,0.18666743960724552,1.3352165015454345,0.1197304673585824,1000,-0.43993588001184597
78,gaussian,0.1897881797644475,1.5231834884306616,0.2572512013602406,100,-0.4834614581340959
78,gaussian,0.1897881797644475,1.5231834884306616,0.2572512013602406,1000,-0.47807371923682956
79,gaussian,0.15115182016214612,1.588273108890574,0.31008183961548086,100,-0.5124338304750566
79,gaussian,0.15115182016214612,1.588273108890574,0.31008183961548086,1000,-0.48841802990872507
80,gaussian,0.09697895110894791,1.0132407222729103,0.00487700903552668,100,-0.34148455663548083
80,gaussian,0.09697895110894791,1.0132407222729103,0.00487700903552668,1000,-0.3571604290932255
81,gaussian,0.11246859688967102,0.5627059009825961,0.23964172383432591,100,-0.21831661851544265
81,gaussian,0.11246859688967102,0.5627059009825961,0.23964172383432591,1000,-0.21518037660630257
82,gaussian,-0.1690756155934902,1.1774223782378856,0.04412738636335711,100,-0.4235154982320006
82,gaussian,-0.1690756155934902,1.1774223782378856,0.04412738636335711,1000,-0.38757144255036735
83,gaussian,-0.11419871604097252,1.9761286657010992,0.7779232136484655,100,-0.5839790232974695
83,gaussian,-0.11419871604097252,1.9761286657010992,0.7779232136484655,1000,-0.5379633472096306
84,gaussian,-0.4344199831304658,0.7293567831237061,0.17593327167766892,100,-0.28772323853376075
84,gaussian,-0.4344199831304658,0.7293567831237061,0.17593327167766892,1000,-0.28097301414787423
85,gaussian,-0.000693464836842335,1.2349002026930633,0.05149933647356986,100,-0.4517128423532459
85,gaussian,-0.000693464836842335,1.2349002026930633,0.05149933647356986,1000,-0.4159011094176427
86,gaussian,-0.04643903114223413,0.7520987496629696,0.06879220404132669,100,-0.2719127865029369
86,gaussian,-0.04643903114223413,0.7520987496629696,0.06879220404132669,1000,-0.2785877292660911
87,gaussian,-0.03168221363126313,1.93538126825373,0.7130478631544355,100,-0.5142027368715509
87,gaussian,-0.03168221363126313,1.93538126825373,0.7130478631544355,1000,-0.5391088251987947
88,gaussian,0.012149785642744357,0.8162367676013473,0.0362458487687799,100,-0.3108435117251976
88,gaussian,0.012149785642744357,0.8162367676013473,0.0362458487687799,1000,-0.2982008831654517
89,gaussian,0.07821249257037755,1.4430832841154895,0.17752128536782608,100,-0.49535822446087413
89,gaussian,0.07821249257037755,1.4430832841154895,0.17752128536782608,1000,-0.4488638210381107
90,gaussian,0.18567291880232029,1.570622722405525,0.2991929052617306,100,-0.544847498493028
90,gaussian,0.18567291880232029,1.570622722405525,0.2991929052617306,1000,-0.4931457738579799
91,gaussian,0.3384955534769027,1.905203699102569,0.7276012558739051,100,-0.5824512676215811
91,gaussian,0.3384955534769027,1.905203699102569,0.7276012558739051,1000,-0.5594984971593433
92,gaussian,0.012334931636935081,0.6801218824309481,0.11684222075426232,100,-0.23563365302192119
92,gaussian,0.012334931636935081,0.6801218824309481,0.11684222075426232,1000,-0.2541167056775887
93,gaussian,-0.018048517658215114,1.2080465097908668,0.040846459149811,100,-0.38414660139291223
93,gaussian,-0.018048517658215114,1.2080465097908668,0.040846459149811,1000,-0.40609872216100307
94,gaussian,-0.04484803165380949,1.7174079416011345,0.4349345484633462,100,-0.5092438917257115
94,gaussian,-0.04484803165380949,1.7174079416011345,0.4349345484633462,1000,-0.5106665439893179
95,gaussian,-0.009159601928479337,0.7726534224788053,0.05646328956692126,100,-0.2534646274122862
95,gaussian,-0.009159601928479337,0.7726534224788053,0.05646328956692126,1000,-0.27918745006469403
96,gaussian,0.1789193355389277,1.2560072395052704,0.07684532519295784,100,-0.4196926645816526
96,gaussian,0.1789193355389277,1.2560072395052704,0.07684532519295784,1000,-0.4053601701348201
97,gaussian,0.10606059763603924,1.5293385329439386,0.2502272888460305,100,-0.4789039813782548
97,gaussian,0.10606059763603924,1.5293385329439386,0.2502272888460305,1000,-0.45631915999238964
98,gaussian,-0.09891768780680343,1.066410349194875,0.009209676283824741,100,-0.39569353813952624
98,gaussian,-0.09891768780680343,1.066410349194875,0.009209676283824741,1000,-0.3745656521429384
99,gaussian,-0.10719233340237742,1.7333117405178202,0.45789601363046817,100,-0.50880669469977
99,gaussian,-0.10719233340237742,1.7333117405178202,0.45789601363046817,1000,-0.5021806767644439
100,gaussian,-0.07215562267054716,0.6872399228286565,0.11382438778632675,100,-0.2218148603567217
100,gaussian,-0.07215562267054716,0.6872399228286565,0.11382438778632675,1000,-0.25557644202250684
101,gaussian,0.035066626632488905,0.8930932692828311,0.012486886644875073,100,-0.3544016405417358
101,gaussian,0.035066626632488905,0.8930932692828311,0.012486886644875073,1000,-0.3198666169458751
102,gaussian,-0.07956368441161576,1.9321575986672108,0.7111443777097359,100,-0.5433682932256089
102,gaussian,-0.07956368441161576,1.9321575986672108,0.7111443777097359,1000,-0.5532011338592957
103,gaussian,-0.0515469445886284,0.6394369096871086,0.15293564300199303,100,-0.2730382832775395
103,gaussian,-0.0515469445886284,0.6394369096871086,0.15293564300199303,1000,-0.24627463725717197
104,gaussian,-0.2421881911457062,0.926324829564009,0.03489672288014578,100,-0.29419502896790556
104,gaussian,-0.2421881911457062,0.926324829564009,0.03489672288014578,1000,-0.31639096353090906
105,gaussian,0.20095447857290966,1.8439810020348042,0.6083974966647279,100,-0.5124466857928991
105,gaussian,0.20095447857290966,1.8439810020348042,0.6083974966647279,1000,-0.5442891634079162
106,gaussian,-0.016463479866391278,1.2608156470888146,0.06320472056737148,100,-0.41736429918437973
106,gaussian,-0.016463479866391278,1.2608156470888146,0.06320472056737148,1000,-0.4126752790084381
107,gaussian,-0.1803066334208206,1.2144843597058916,0.05942177960534556,100,-0.4223357669463753
107,gaussian,-0.1803066334208206,1.2144843597058916,0.05942177960534556,1000,-0.411157568893525
108,gaussian,0.07263992562653725,0.719716227203557,0.09053227679276243,100,-0.2637228949391884
108,gaussian,0.07263992562653725,0.719716227203557,0.09053227679276243,1000,-0.26512675713430095
109,gaussian,0.09285016161149504,0.8141704986621128,0.04133285379845608,100,-0.27388276027385017
109,gaussian,0.09285016161149504,0.8141704986621128,0.04133285379845608,1000,-0.2982840416137802
110,gaussian,-0.005080438298107257,0.9119631377068391,0.008006996600482319,100,-0.34137023142406786
110,gaussian,-0.005080438298107257,0.9119631377068391,0.008006996600482319,1000,-0.3262918346562988
111,gaussian,0.31312557016456344,0.5841428586109632,0.25724495613807796,100,-0.24616379913139935
111,gaussian,0.31312557016456344,0.5841428586109632,0.25724495613807796,1000,-0.22639320517329103
112,gaussian,-0.16865217517762357,0.5699590979558986,0.2388391434677981,100,-0.21709097792839926
112,gaussian,-0.16865217517762357,0.5699590979558986,0.2388391434677981,1000,-0.2205670547707695
113,gaussian,-0.006073023833852055,1.212340813914472,0.04235051763332054,100,-0.4123431889386182
113,gaussian,-0.006073023833852055,1.212340813914472,0.04235051763332054,1000,-0.40769916473821066
114,gaussian,0.09714452553200795,1.629922928152618,0.3445101749203954,100,-0.4959863532628048
114,gaussian,0.09714452553200795,1.629922928152618,0.3445101749203954,1000,-0.5097209515228551
115,gaussian,0.04377014656111022,1.2391176065061553,0.05426461559405138,100,-0.3985138823255426
115,gaussian,0.04377014656111022,1.2391176065061553,0.05426461559405138,1000,-0.4076908783862083
116,gaussian,-0.10209890784194736,0.9084337885708019,0.013871341345674248,100,-0.3505710112937523
116,gaussian,-0.10209890784194736,0.9084337885708019,0.013871341345674248,1000,-0.3363850911188381
117,gaussian,0.18991209581796173,1.2057349541961635,0.05784239044274664,100,-0.421397805582019
117,gaussian,0.18991209581796173,1.2057349541961635,0.05784239044274664,1000,-0.4036646670591866
118,gaussian,0.3138589421199864,1.4407881164336973,0.22199864905145938,100,-0.47087617800531495
118,gaussian,0.3138589421199864,1.4407881164336973,0.22199864905145938,1000,-0.45207336578118656
119,gaussian,0.07063472052091826,0.8919733743191997,0.014621878384291631,100,-0.31491465711736794
119,gaussian,0.07063472052091826,0.8919733743191997,0.014621878384291631,1000,-0.3212349808430581
120,gaussian,0.06425009585682066,0.7373112129516061,0.0786231557566488,100,-0.27574285966271617
120,gaussian,0.06425009585682066,0.7373112129516061,0.0786231557566488,1000,-0.2704276143343105
121,gaussian,-0.24027974226188697,1.0470072288139358,0.03104340968916841,100,-0.3303402799104505
121,gaussian,-0.24027974226188697,1.0470072288139358,0.03104340968916841,1000,-0.36534184663467706
122,gaussian,-0.07587055741955906,1.623856589376929,0.33652935136673356,100,-0.5237432303881788
122,gaussian,-0.07587055741955906,1.623856589376929,0.33652935136673356,1000,-0.4914491243194061
123,gaussian,-0.1737693755177839,1.7012049758916452,0.4308102736096745,100,-0.48015565166852514
123,gaussian,-0.1737693755177839,1.7012049758916452,0.4308102736096745,1000,-0.48530888282551127
124,gaussian,0.2460306942463003,1.9983060324927107,0.8345792130911418,100,-0.5744383472100109
124,gaussian,0.2460306942463003,1.9983060324927107,0.8345792130911418,1000,-0.5545835996810347
125,gaussian,-0.15781559254395822,1.661634623214956,0.3851658605213948,100,-0.5032059509889064
125,gaussian,-0.15781559254395822,1.661634623214956,0.3851658605213948,1000,-0.4969276006554605
126,gaussian,-0.2448622073150249,1.3437066052042437,0.13732055214946293,100,-0.46290747245939357
126,gaussian,-0.2448622073150249,1.3437066052042437,0.13732055214946293,1000,-0.44665039446491606
127,gaussian,-0.15067379353198807,1.5803559167973482,0.3024636224402675,100,-0.5139685934707132
127,gaussian,-0.15067379353198807,1.5803559167973482,0.3024636224402675,1000,-0.47083390951247706
128,gaussian,0.10842052746658082,0.9167839041903354,0.013007358566496485,100,-0.32729774091958963
128,gaussian,0.10842052746658082,0.9167839041903354,0.013007358566496485,1000,-0.3284994359512296
129,gaussian,-0.07350045278027864,1.8434389745368915,0.5902019496009325,100,-0.5103386193371351
129,gaussian,-0.07350045278027864,1.8434389745368915,0.5902019496009325,1000,-0.5242356720276176
130,gaussian,0.17128028988788122,0.9265650409729091,0.02020089142298942,100,-0.386295081410273
130,gaussian,0.17128028988788122,0.9265650409729091,0.02020089142298942,1000,-0.32543969630293385
131,gaussian,0.04501202621802265,1.1839200358402695,0.0330153700001401,100,-0.351913053363248
131,gaussian,0.04501202621802265,1.1839200358402695,0.0330153700001401,1000,-0.3991526205928797
132,gaussian,-0.06850085480733413,0.5456935025797576,0.2569346943735348,100,-0.20744568996967122
132,gaussian,-0.06850085480733413,0.5456935025797576,0.2569346943735348,1000,-0.21247604815130527
133,gaussian,0.22291240497320444,1.458014684864807,0.2106726753266992,100,-0.4905757923423633
133,gaussian,0.22291240497320444,1.458014684864807,0.2106726753266992,1000,-0.48062945130042256
134,gaussian,0.02161588140930709,1.916199542326944,0.6858001467810335,100,-0.48985078274346244
134,gaussian,0.02161588140930709,1.916199542326944,0.6858001467810335,1000,-0.5394832919178996
135,gaussian,-0.01698322665670681,1.4558239732411893,0.18428389055909866,100,-0.4705773131063794
135,gaussian,-0.01698322665670681,1.4558239732411893,0.18428389055909866,1000,-0.45576916545812435
136,gaussian,0.10163728275298883,1.4334175241141776,0.17244649778102494,100,-0.4227903365305314
136,gaussian,0.10163728275298883,1.4334175241141776,0.17244649778102494,1000,-0.46197286022620565
137,gaussian,-0.39857910078463343,1.1228719719652274,0.09396371862027886,100,-0.3298786821608138
137,gaussian,-0.39857910078463343,1.1228719719652274,0.09396371862027886,1000,-0.38973445732983375
