best_r1,best_r2,best_r_concat,group
0.004068833037096268,0.0029749078086452195,0.5050415743825334,high
0.002700190751970043,0.00046277895929705104,0.0012112383226856641,high
0.1421282851074926,0.2120905754086885,0.03837676782710669,high
0.08217691133579401,0.035081760146836324,1.561056908059256,high
0.002059891555876342,0.03955977995905532,0.012284696825422705,high
0.0008646385732815494,0.0023685513726967207,0.001985181888849648,high
0.05277809269321287,0.0038515732221372596,0.05412804661942982,high
0.4230768260790954,0.001058625488239518,0.32064077998062834,high
0.0002093414990661674,0.000245816069302763,0.0001073526716380268,high
0.08751893066978607,0.000509406728807963,0.019535305960280826,high
0.0041633464551558705,0.018641899362791217,0.011286847500082771,high
0.006802495610919366,0.0016850152740006813,0.35757342432357503,high
0.0688729895098659,0.00040415179154959903,0.010557579800405437,high
0.003020030582486949,0.006243114785233389,0.004242700206715435,high
0.006243114785233389,8.347431878430425e-05,0.0019466331281657945,high
6.313705471591782e-05,0.009316273800323878,0.0030518599683609614,high
0.035081760146836324,0.001071830972231689,4.642137975183733,high
0.14214403511298887,0.0043772664256023055,2.3176752038319997,high
0.08751893066978607,1.9861974525123418e-05,0.6238089173742751,high
0.0009109681946447216,0.0008646385732815494,0.0005901435198351598,high
0.08767369190262618,0.010062182552890713,0.050125347307462514,high
0.0038164083359485505,0.001071830972231689,0.00262470364907435,high
0.0027081071888128304,0.0050439199888767305,0.005602755531079676,high
0.02346136183234285,0.00042615707930016163,1.2186706183741856,high
0.004068833037096268,0.06748544932703146,0.007459256454410131,high
0.2590855074553902,0.2123143302018763,0.2550390155304526,high
0.0008479201210236673,3.2796132728119425e-05,0.0001483860376366209,high
0.002700190751970043,0.004677296164279848,0.0024902397640073006,high
0.00028935757000196074,0.00046277895929705104,0.0002459511045030146,high
0.0016850152740006813,0.0029380211841932543,0.002777249449827008,high
0.0005763474629662912,0.005873924929774831,0.48547922694068135,high
0.022981547567958237,0.022981547567958237,0.026017036606499254,high
0.00042615707930016163,5.408690595725983e-05,0.00013491246965480804,high
0.017123197902348918,0.0853743927134145,1.561714248039667,high
0.0026248124366439396,0.04303481242105689,0.007868010564401489,high
0.014944253071976353,0.006498623321356322,0.8674303835328289,high
0.08217691133579401,1.3421509062712367e-06,1.1825348888223963,high
0.0003841494112364109,1.0287696098925971e-05,0.8249416188143259,high
0.004924062966239431,3.5059106937814334e-05,0.0011213152315393473,high
0.006243114785233389,0.0007181792557454349,1.7238321004472805,high
0.04303481242105689,0.00018874948601662348,0.013664971054317914,high
0.009692189049272795,0.05277809269321287,0.02140031685193319,high
0.08751893066978607,0.04639193939388683,0.052745497105891125,high
0.0026248124366439396,0.0005293453746773841,1.0611725777491388,high
0.010475240856365763,0.009432417327096588,0.022393557877715384,high
0.01151707135707119,0.024394533605720657,0.44390783821414925,high
0.0853743927134145,0.0107881012269917,2.0182147641460473,high
0.0050439199888767305,0.05500547666447523,0.01551710622438479,high
0.01151707135707119,0.1228625006983758,0.04415250258797432,high
0.017744383102475378,0.009432417327096588,0.014486730212600815,high
0.03571486554828111,0.017744383102475378,0.7400732835683809,high
0.0015473096384738766,0.2590855074553902,1.291591301102394,high
0.002026457767725169,0.0011218260783887324,1.4379474845172564,high
0.0022905152337043917,0.000509406728807963,0.0006360488061467613,high
0.004396819219904147,0.002331533361213051,0.9592962929080155,high
0.07801695457996234,0.012733765584588353,1.193627127454218,high
0.006498623321356322,0.07897909318351809,0.02315931826456999,high
0.002203827542982468,0.0038515732221372596,3.340029002105689,high
0.1001777372891752,0.0020606311942979725,0.00982343064186534,high
0.04303481242105689,0.0011345889392495756,0.00867671798429367,high
0.0006099403278155988,0.03955977995905532,0.011356311109523409,high
0.17498795476563367,0.0009504457707226163,0.021666081287185043,high
0.0008479201210236673,0.0008479201210236673,0.000760470473360575,high
8.347431878430425e-05,0.0075153346553647775,1.404139195213718,high
0.0041633464551558705,0.007178673806042197,0.005304876904781983,high
0.031731705579745154,0.056389527800266494,0.9637794753569184,high
6.313705471591782e-05,0.012733765584588353,0.0017542976213928846,high
0.0006099403278155988,0.0029380211841932543,1.9995854289070423,high
0.07801695457996234,0.08633866325455913,0.18281845025328367,high
